"日期","事件","單日疫苗配送","單日公費施打","單日自費施打","單日施打","累計公費施打","累計自費施打","累計施打","備註","次日回補施打","校正累計施打","單日境外確診","累計境外確診","單日本土確診","單日本土增補","累計本土確診","累計敦睦確診","累計航空器確診","累計不明確診","調查中確診","新增移除確診","累計移除確診","總累計確診","單日死亡","累計死亡","疫苗參考","疫苗參考2","確診參考"
"2020-10-27","","","","","","","","","","0","0","","","","","","","","","","","","","","","","",""
"2020-10-28","","","","","","","","","","0","0","","","","","","","","","","","","","","","","",""
"2020-10-29","","","","","","","","","","0","0","3","461","","","55","36","","1","","","0","553","","7","","",""
"2020-10-30","","","","","","","","","","0","0","1","462","","","55","36","","1","","1","1","554","","7","","",""
"2020-10-31","","","","","","","","","","0","0","1","463","","","55","36","","1","","","1","555","","7","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-01-29","","","","","","","","","","0","0","4","789","","","71","36","2","1","","","1","899","","7","","",""
"2021-01-30","","","","","","","","","","0","0","6","795","4","","75","36","2","1","","","1","909","1","8","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-03","","","","","","","","0","","0","0","","803","","","75","36","2","1","","","1","917","","8","","",""
"2021-02-04","","","","","","","","0","","0","0","2","805","","","75","36","2","1","","","","919","1","9","","",""
"2021-02-05","","","","","","","","0","","0","0","3","808","1","","76","36","2","1","","","1","923","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-09","","","","","","","","0","","0","0","4","817","1","","77","36","2","1","","","1","933","","9","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-03-03","AZ#1抵台11.7萬劑","","","","","","","0","","0","0","3","842","","","77","36","2","1","","","1","958","","9","","",""
"2021-03-04","","","","","","","","","","0","0","2","844","","","77","36","2","1","","","1","960","","9","","",""
"2021-03-05","","","","","","","","0","","0","0","2","844","","","77","36","2","1","","","1","960","","9","","",""
"2021-03-06","","","","","","","","0","","0","0","7","851","","","77","36","2","1","","","1","967","1","10","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-03-17","AZ#1檢驗完畢","","","","","","","0","","0","0","","","","","77","36","2","1","","","1","","","10","https://www.cdc.gov.tw/Bulletin/Detail/wxf4jk95I4XKlGMzSgHTUQ?typeid=9","",""
"2021-03-18","AZ#1封緘完成","","","","","","","0","","0","0","","","","","77","36","2","1","","","1","","","10","https://www.cdc.gov.tw/Bulletin/Detail/wxf4jk95I4XKlGMzSgHTUQ?typeid=9","",""
"2021-03-19","","","","","","","","0","","0","0","","","","","77","36","2","1","","","1","","","10","","",""
"2021-03-20","","","","","","","","0","","0","0","","","","","77","36","2","1","","","1","","","10","","",""
"2021-03-21","","","","","","","","0","","0","0","","","","","77","36","2","1","","","1","","","10","","",""
"2021-03-22","開始疫苗接種AZ#1開打","","","","1578","","","1578","","0","1578","","","","","77","36","2","1","","","1","","","10","https://www.ptt.cc/bbs/nCoV2019/M.1616498291.A.C37.html","","https://www.ptt.cc/bbs/nCoV2019/M.1616498291.A.C37.html"
"2021-03-23","","","","","1638","","","3216","","0","3216","","","","","77","36","2","1","","","1","","","10","https://www.ptt.cc/bbs/nCoV2019/M.1616582687.A.25E.html","","https://www.ptt.cc/bbs/nCoV2019/M.1616582687.A.25E.html"
"2021-03-24","","","","","1951","","","5169","","0","5169","","","","","77","36","2","1","","","1","","","10","https://www.ptt.cc/bbs/nCoV2019/M.1616673953.A.257.html","","https://www.ptt.cc/bbs/nCoV2019/M.1616673953.A.257.html"
"2021-03-25","","","","","1927","","","7096","疫苗推估","0","7096","","","","","77","36","2","1","","","1","","","10","","",""
"2021-03-26","","","","","2136","","","9232","","0","9232","","897","","","77","36","2","1","","","1","1013","","10","https://www.ptt.cc/bbs/nCoV2019/M.1616843168.A.8EC.html","","https://www.ptt.cc/bbs/nCoV2019/M.1616843168.A.8EC.html"
"2021-03-27","","","","","180","","","9412","疫苗推估","0","9412","7","904","","","77","36","2","1","","","1","","","10","","","https://www.ptt.cc/bbs/nCoV2019/M.1616823919.A.A09.html"
"2021-03-28","","","","","0","","","9412","","0","9412","2","906","","","77","36","2","1","","","1","1022","","10","","",""
"2021-03-29","","","","","1468","","","10880","","0","10880","1","907","","","77","36","2","1","","","1","","","10","","",""
"2021-03-30","","","","","","","","12605","","0","12605","","907","","","77","36","2","1","","","1","","","10","https://www.ptt.cc/bbs/nCoV2019/M.1617169507.A.F4A.html","",""
"2021-03-31","","","","","1752","","","14400","","0","14400","6","913","","","77","36","2","1","","","1","","","10","https://www.ptt.cc/bbs/nCoV2019/M.1617259526.A.C75.html","",""
"2021-04-01","","","","","","","","16450","","0","16450","6","919","","","77","36","2","1","","","1","","","10","","",""
"2021-04-02","","","","","606","","","17056","","0","17056","3","923","","","77","36","2","1","","","1","1039","","10","https://www.ptt.cc/bbs/nCoV2019/M.1617437977.A.758.html","","https://www.ptt.cc/bbs/nCoV2019/M.1617343404.A.EBE.html"
"2021-04-03","","","","","","","","","","","","6","929","","","77","36","2","1","","","1","1045","","10","","","https://www.ptt.cc/bbs/nCoV2019/M.1617451066.A.C6C.html"
"2021-04-04","AZ#2抵臺19.92萬劑","","","","","","","","","","","2","931","","","77","36","2","1","","","1","","","10","","","https://www.ptt.cc/bbs/nCoV2019/M.1617520389.A.CD3.html"
"2021-04-05","","","","","","","","","","","","1","932","","","77","36","2","1","","","1","","","10","","","https://www.ptt.cc/bbs/nCoV2019/M.1617602484.A.498.html"
"2021-04-06","","","","","","","","","","","","2","934","","","77","36","2","1","","","1","","","10","","","https://www.ptt.cc/bbs/nCoV2019/M.1617688876.A.204.html"
"2021-04-07","","","","","","","","20120","疫苗推估","","","","934","","","77","36","2","1","","","1","","","10","","",""
"2021-04-08","","","","","1687","","","21807","","0","21807","","934","","","77","36","2","1","","","1","","","10","https://www.ptt.cc/bbs/nCoV2019/M.1617947172.A.FAC.html","",""
"2021-04-09","","","","","2577","","","24450","","0","24450","4","938","","","77","36","2","1","","","1","","","10","https://www.ptt.cc/bbs/nCoV2019/M.1618033519.A.C3E.html","","https://www.ptt.cc/bbs/nCoV2019/M.1618053675.A.863.html"
"2021-04-10","","","","","72","","","24652","","0","24652","2","940","","","77","36","2","1","","","1","","","10","https://www.ptt.cc/bbs/nCoV2019/M.1618119941.A.DD3.html","",""
"2021-04-11","","","","","","","","24701","疫苗推估","","","1","941","","","77","36","2","1","0","","1","1057","1","11","","","https://www.ptt.cc/bbs/nCoV2019/M.1618120881.A.77C.html"
"2021-04-12","AZ擴大施打","","","","1181","","","25882","","0","25882","1","942","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1618292840.A.570.html","",""
"2021-04-13","","","","","1220","","","27113","","0","27113","4","946","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1618379258.A.6AC.html","",""
"2021-04-14","","","","","1319","","","28465","","0","28465","5","951","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1618465573.A.D43.html","","https://www.ptt.cc/bbs/nCoV2019/M.1618493428.A.AFF.html"
"2021-04-15","","","","","1542","","","30039","","0","30039","1","952","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1618551917.A.C72.html","","https://www.ptt.cc/bbs/nCoV2019/M.1618570953.A.DFD.html"
"2021-04-16","","","","","2234","","","32389","","0","32389","2","954","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1618638313.A.115.html","",""
"2021-04-17","","","","","28","","","32450","","0","32450","2","956","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1618811108.A.EED.html","",""
"2021-04-18","","","","","","","","32493","疫苗推估","","","1","957","","","77","36","2","1","","","1","","","11","","",""
"2021-04-19","","","","","911","","","33404","","0","33404","3","960","","","77","36","2","1","2","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1618897505.A.798.html","",""
"2021-04-20","","","","","775","","","34197","","0","34197","","960","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1618983931.A.338.html","","https://www.ptt.cc/bbs/nCoV2019/M.1619011725.A.C5F.html"
"2021-04-21","AZ自費開打","","1732","783","2515","","","36731","","0","36731","4","964","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1619088374.A.2F7.html","","https://www.ptt.cc/bbs/nCoV2019/M.1618839145.A.469.html"
"2021-04-22","美國將台灣列為旅遊警示3級","","","","","","","39221","疫苗推估","","","4","968","","","77","36","2","1","","","1","","","11","","",""
"2021-04-23","","","1469","1784","3253","","","42474","","49","42523","2","970","","","77","36","2","1","","","1","","","11","https://www.ptt.cc/bbs/nCoV2019/M.1619243206.A.29B.html","https://www.ptt.cc/bbs/nCoV2019/M.1619275368.A.CC9.html",""
"2021-04-24","","","","","","","","","","","","6","976","1","","78","36","2","1","1","","1","1097","1","12","","","https://www.ptt.cc/bbs/nCoV2019/M.1619244150.A.B16.html"
